,subagencia,fecha,precioLitro,centroCarga
0,Agencia Modelo del Istmo (Juchitan),2018-01-02,16.05,115358
1,Agencia Modelo del Istmo (Juchitan),2018-01-03,16.05,107453
4,Agencia Modelo del Istmo (Juchitan),2018-01-04,16.09,109321
7,Agencia Modelo del Istmo (Juchitan),2018-01-05,16.12,107453
9,Agencia Modelo del Istmo (Juchitan),2018-01-06,16.09,109321
17,Agencia Modelo del Istmo (Juchitan),2018-01-08,16.05,107453
18,Agencia Modelo del Istmo (Juchitan),2018-01-09,16.26,109321
19,Agencia Modelo del Istmo (Juchitan),2018-01-10,16.12,107453
21,Agencia Modelo del Istmo (Juchitan),2018-01-11,16.3,108092
23,Agencia Modelo del Istmo (Juchitan),2018-01-11,16.3,109321
25,Agencia Modelo del Istmo (Juchitan),2018-01-12,15.94,107459
27,Agencia Modelo del Istmo (Juchitan),2018-01-13,16.38,109321
35,Agencia Modelo del Istmo (Juchitan),2018-01-15,16.38,109321
36,Agencia Modelo del Istmo (Juchitan),2018-01-15,16.38,113975
37,Agencia Modelo del Istmo (Juchitan),2018-01-16,16.47,107453
42,Agencia Modelo del Istmo (Juchitan),2018-01-17,16.5,114034
43,Agencia Modelo del Istmo (Juchitan),2018-01-18,16.47,109321
46,Agencia Modelo del Istmo (Juchitan),2018-01-19,16.52,107453
47,Agencia Modelo del Istmo (Juchitan),2018-01-20,16.5,113975
48,Agencia Modelo del Istmo (Juchitan),2018-01-20,16.5,107452
50,Agencia Modelo del Istmo (Juchitan),2018-01-22,16.63,114034
53,Agencia Modelo del Istmo (Juchitan),2018-01-23,16.55,109321
65,Agencia Modelo del Istmo (Juchitan),2018-01-24,15.94,107459
66,Agencia Modelo del Istmo (Juchitan),2018-01-25,16.69,107453
70,Agencia Modelo del Istmo (Juchitan),2018-01-26,16.65,113975
71,Agencia Modelo del Istmo (Juchitan),2018-01-26,16.65,109321
72,Agencia Modelo del Istmo (Juchitan),2018-01-27,16.7,107453
74,Agencia Modelo del Istmo (Juchitan),2018-01-28,18.04,108092
75,Agencia Modelo del Istmo (Juchitan),2018-01-29,16.7,107453
77,Agencia Modelo del Istmo (Juchitan),2018-01-30,15.94,107459
78,Agencia Modelo del Istmo (Juchitan),2018-01-31,15.94,107459
79,Agencia Modelo del Istmo (Juchitan),2018-02-01,16.77,109321
83,Agencia Modelo del Istmo (Juchitan),2018-02-02,16.85,114034
87,Agencia Modelo del Istmo (Juchitan),2018-02-03,16.82,109321
95,Agencia Modelo del Istmo (Juchitan),2018-02-05,16.87,107453
96,Agencia Modelo del Istmo (Juchitan),2018-02-06,16.84,109321
99,Agencia Modelo del Istmo (Juchitan),2018-02-07,16.81,109321
100,Agencia Modelo del Istmo (Juchitan),2018-02-07,16.81,113975
101,Agencia Modelo del Istmo (Juchitan),2018-02-08,16.81,109321
108,Agencia Modelo del Istmo (Juchitan),2018-02-09,16.77,109321
109,Agencia Modelo del Istmo (Juchitan),2018-02-10,16.72,109321
119,Agencia Modelo del Istmo (Juchitan),2018-02-12,16.45,107459
120,Agencia Modelo del Istmo (Juchitan),2018-02-13,16.45,107459
122,Agencia Modelo del Istmo (Juchitan),2018-02-14,16.72,113975
123,Agencia Modelo del Istmo (Juchitan),2018-02-14,16.72,109321
125,Agencia Modelo del Istmo (Juchitan),2018-02-15,16.71,113975
126,Agencia Modelo del Istmo (Juchitan),2018-02-15,16.71,109321
134,Agencia Modelo del Istmo (Juchitan),2018-02-16,16.73,113975
136,Agencia Modelo del Istmo (Juchitan),2018-02-16,16.73,109321
137,Agencia Modelo del Istmo (Juchitan),2018-02-17,16.76,109321
145,Agencia Modelo del Istmo (Juchitan),2018-02-19,16.45,107459
146,Agencia Modelo del Istmo (Juchitan),2018-02-20,16.78,109321
156,Agencia Modelo del Istmo (Juchitan),2018-02-21,16.45,107459
158,Agencia Modelo del Istmo (Juchitan),2018-02-22,16.45,107459
160,Agencia Modelo del Istmo (Juchitan),2018-02-23,16.8,109321
162,Agencia Modelo del Istmo (Juchitan),2018-02-24,16.82,107459
163,Agencia Modelo del Istmo (Juchitan),2018-02-26,16.82,107459
164,Agencia Modelo del Istmo (Juchitan),2018-02-27,16.82,107459
165,Agencia Modelo del Istmo (Juchitan),2018-02-28,16.89,109321
168,Agencia Modelo del Istmo (Juchitan),2018-03-01,16.92,109321
178,Agencia Modelo del Istmo (Juchitan),2018-03-01,16.92,109314
180,Agencia Modelo del Istmo (Juchitan),2018-03-02,16.99,114034
182,Agencia Modelo del Istmo (Juchitan),2018-03-03,16.94,109321
192,Agencia Modelo del Istmo (Juchitan),2018-03-05,16.94,113975
193,Agencia Modelo del Istmo (Juchitan),2018-03-05,16.94,109321
194,Agencia Modelo del Istmo (Juchitan),2018-03-06,16.94,109321
204,Agencia Modelo del Istmo (Juchitan),2018-03-06,16.94,113975
205,Agencia Modelo del Istmo (Juchitan),2018-03-07,17.04,114034
209,Agencia Modelo del Istmo (Juchitan),2018-03-08,16.96,109321
222,Agencia Modelo del Istmo (Juchitan),2018-03-09,16.95,109321
226,Agencia Modelo del Istmo (Juchitan),2018-03-10,16.95,113975
227,Agencia Modelo del Istmo (Juchitan),2018-03-12,16.95,109321
228,Agencia Modelo del Istmo (Juchitan),2018-03-13,16.88,893
229,Agencia Modelo del Istmo (Juchitan),2018-03-14,16.96,109321
230,Agencia Modelo del Istmo (Juchitan),2018-03-15,16.96,109321
239,Agencia Modelo del Istmo (Juchitan),2018-03-16,16.97,113975
240,Agencia Modelo del Istmo (Juchitan),2018-03-17,17.0,107459
241,Agencia Modelo del Istmo (Juchitan),2018-03-19,17.05,115358
243,Agencia Modelo del Istmo (Juchitan),2018-03-20,16.98,109321
260,Agencia Modelo del Istmo (Juchitan),2018-03-20,16.98,107452
262,Agencia Modelo del Istmo (Juchitan),2018-03-21,17.99,109321
264,Agencia Modelo del Istmo (Juchitan),2018-03-22,17.01,113975
265,Agencia Modelo del Istmo (Juchitan),2018-03-22,17.01,109321
275,Agencia Modelo del Istmo (Juchitan),2018-03-23,17.0,107459
276,Agencia Modelo del Istmo (Juchitan),2018-03-24,17.0,107459
279,Agencia Modelo del Istmo (Juchitan),2018-03-25,17.14,114034
282,Agencia Modelo del Istmo (Juchitan),2018-03-26,17.12,107453
283,Agencia Modelo del Istmo (Juchitan),2018-03-26,17.12,115358
284,Agencia Modelo del Istmo (Juchitan),2018-03-27,17.04,109321
285,Agencia Modelo del Istmo (Juchitan),2018-03-28,17.0,107459
287,Agencia Modelo del Istmo (Juchitan),2018-03-29,17.05,109321
290,Agencia Modelo del Istmo (Juchitan),2018-03-30,17.05,109321
291,Agencia Modelo del Istmo (Juchitan),2018-03-31,17.12,115358
294,Agencia Modelo del Istmo (Juchitan),2018-04-02,17.0,107459
295,Agencia Modelo del Istmo (Juchitan),2018-04-03,17.05,113975
296,Agencia Modelo del Istmo (Juchitan),2018-04-03,17.05,109321
309,Agencia Modelo del Istmo (Juchitan),2018-04-04,17.05,109321
310,Agencia Modelo del Istmo (Juchitan),2018-04-05,17.05,109321
320,Agencia Modelo del Istmo (Juchitan),2018-04-05,17.05,117198
321,Agencia Modelo del Istmo (Juchitan),2018-04-06,17.0,107459
322,Agencia Modelo del Istmo (Juchitan),2018-04-07,17.0,107459
323,Agencia Modelo del Istmo (Juchitan),2018-04-09,17.05,109321
326,Agencia Modelo del Istmo (Juchitan),2018-04-09,17.05,117198
328,Agencia Modelo del Istmo (Juchitan),2018-04-10,17.0,107459
329,Agencia Modelo del Istmo (Juchitan),2018-04-11,17.05,113975
330,Agencia Modelo del Istmo (Juchitan),2018-04-12,16.95,110314
331,Agencia Modelo del Istmo (Juchitan),2018-04-13,17.07,109321
339,Agencia Modelo del Istmo (Juchitan),2018-04-13,17.07,113975
343,Agencia Modelo del Istmo (Juchitan),2018-04-14,16.95,110314
344,Agencia Modelo del Istmo (Juchitan),2018-04-16,17.08,117198
345,Agencia Modelo del Istmo (Juchitan),2018-04-17,17.08,109321
354,Agencia Modelo del Istmo (Juchitan),2018-04-17,17.08,113975
