,subagencia,fecha,precioLitro,precioLitro,precioLitro
,,,max,min,mean
0,Agencia Modelo del Istmo (Juchitan),2018-01-02,16.05,16.05,16.05
1,Agencia Modelo del Istmo (Juchitan),2018-01-03,17.12,16.05,16.56230769230769
2,Agencia Modelo del Istmo (Juchitan),2018-01-04,17.16,16.09,16.836999999999996
3,Agencia Modelo del Istmo (Juchitan),2018-01-05,17.19,16.12,16.651333333333334
4,Agencia Modelo del Istmo (Juchitan),2018-01-06,17.5,16.09,16.611363636363635
5,Agencia Modelo del Istmo (Juchitan),2018-01-08,17.25,16.05,16.72314285714285
6,Agencia Modelo del Istmo (Juchitan),2018-01-09,17.25,16.26,16.946
7,Agencia Modelo del Istmo (Juchitan),2018-01-10,17.32,16.12,16.8
8,Agencia Modelo del Istmo (Juchitan),2018-01-11,17.37,16.3,16.804285714285715
9,Agencia Modelo del Istmo (Juchitan),2018-01-12,17.4,15.94,16.47411764705882
10,Agencia Modelo del Istmo (Juchitan),2018-01-13,17.5,16.38,17.05348837209302
11,Agencia Modelo del Istmo (Juchitan),2018-01-15,17.47,16.38,16.895555555555557
12,Agencia Modelo del Istmo (Juchitan),2018-01-16,17.47,16.47,16.98333333333333
13,Agencia Modelo del Istmo (Juchitan),2018-01-17,17.66,16.5,17.24181818181818
14,Agencia Modelo del Istmo (Juchitan),2018-01-18,17.76,16.47,17.30805555555556
15,Agencia Modelo del Istmo (Juchitan),2018-01-19,17.76,16.52,17.3408
16,Agencia Modelo del Istmo (Juchitan),2018-01-20,17.76,16.5,16.880000000000003
17,Agencia Modelo del Istmo (Juchitan),2018-01-22,17.52,16.63,17.4053125
18,Agencia Modelo del Istmo (Juchitan),2018-01-23,17.84,16.55,17.133999999999993
19,Agencia Modelo del Istmo (Juchitan),2018-01-24,17.89,15.94,17.10153846153846
20,Agencia Modelo del Istmo (Juchitan),2018-01-25,17.94,16.69,17.352592592592597
21,Agencia Modelo del Istmo (Juchitan),2018-01-26,17.72,16.65,17.1775
22,Agencia Modelo del Istmo (Juchitan),2018-01-27,17.77,16.7,17.294444444444444
23,Agencia Modelo del Istmo (Juchitan),2018-01-28,18.04,18.04,18.04
24,Agencia Modelo del Istmo (Juchitan),2018-01-29,17.69,16.7,17.091250000000002
25,Agencia Modelo del Istmo (Juchitan),2018-01-30,18.04,15.94,17.24716981132075
26,Agencia Modelo del Istmo (Juchitan),2018-01-31,18.11,15.94,17.254166666666666
27,Agencia Modelo del Istmo (Juchitan),2018-02-01,18.15,16.77,17.43333333333333
28,Agencia Modelo del Istmo (Juchitan),2018-02-02,18.16,16.85,17.603333333333335
29,Agencia Modelo del Istmo (Juchitan),2018-02-03,17.94,16.82,17.2992
30,Agencia Modelo del Istmo (Juchitan),2018-02-05,17.94,16.87,17.583333333333332
31,Agencia Modelo del Istmo (Juchitan),2018-02-06,18.21,16.84,17.402068965517238
32,Agencia Modelo del Istmo (Juchitan),2018-02-07,17.94,16.81,17.34294117647059
33,Agencia Modelo del Istmo (Juchitan),2018-02-08,18.21,16.81,17.593999999999987
34,Agencia Modelo del Istmo (Juchitan),2018-02-09,17.94,16.77,17.46857142857143
35,Agencia Modelo del Istmo (Juchitan),2018-02-10,18.21,16.72,17.220000000000002
36,Agencia Modelo del Istmo (Juchitan),2018-02-12,18.21,16.45,17.455714285714286
37,Agencia Modelo del Istmo (Juchitan),2018-02-13,18.21,16.45,17.22173076923078
38,Agencia Modelo del Istmo (Juchitan),2018-02-14,17.9,16.72,17.394166666666667
39,Agencia Modelo del Istmo (Juchitan),2018-02-15,17.9,16.71,17.324333333333325
40,Agencia Modelo del Istmo (Juchitan),2018-02-16,18.33,16.73,17.24642857142857
41,Agencia Modelo del Istmo (Juchitan),2018-02-17,17.88,16.76,17.392666666666667
42,Agencia Modelo del Istmo (Juchitan),2018-02-19,17.94,16.45,17.172222222222224
